REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS
201600043,1/2/2016,1144,VEHICLE THEFT,0 BLK LEWIS DR
201650045,1/2/2016,1245,BURGLARY/B & E,700 BLK GALAHAD DR
201600045,1/2/2016,1248,THEFT FROM VEHICLE,1500 BLK ROLFE PL
201650040,1/2/2016,1300,DECEASED PERSON,0 BLK CLAY DR
201650046,1/2/2016,1311,AGGRAVATED ASSAULT,0 BLK RICHLAND DR
201600046,1/2/2016,1321,DAMAGE PROPERTY,700 BLK APRIL LN
201600047,1/2/2016,1421,DAMAGE PROPERTY,11700 BLK JEFFERSON AVE
201600048,1/2/2016,1444,THEFT FROM VEHICLE,0 BLK TRAVERSE RD
201650047,1/2/2016,1510,BURGLARY/B & E,200 BLK DON EVE CT
201650048,1/2/2016,1512,SHOPLIFTING,6100 BLK JEFFERSON AVE
201600049,1/2/2016,1526,LARCENY,600 BLK HAMPTON AVE
201650049,1/2/2016,1531,DRUG/NARCOTICS OFFENSES,0 BLK DEEP CREEK RD
201600050,1/2/2016,1625,DAMAGE PROPERTY,600 BLK VILLAGE GREEN PKWY
201650051,1/2/2016,1650,DRUG/NARCOTICS OFFENSES,400 BLK MANOR RD
201650052,1/2/2016,1703,TAMPERING WITH AUTO,3600 BLK WOODBRIDGE DR
201600052,1/2/2016,1729,DAMAGE PROPERTY,300 BLK GEORGETOWN LOOP
201650054,1/2/2016,1749,DRUG/NARCOTICS OFFENSES,100 BLK RIVERVIEW PKWY
201650055,1/2/2016,1827,LARCENY,400 BLK TURLINGTON RD
201650053,1/2/2016,1915,LARCENY,2700 BLK WASHINGTON AVE
201650056,1/2/2016,1938,DAMAGE PROPERTY,800 BLK LAFAYETTE TER
201650058,1/2/2016,2013,SIMPLE ASSAULT,100 BLK PLEASANT CT
201600054,1/2/2016,2103,DRUG/NARCOTICS OFFENSES,1300 BLK 23RD ST
201650059,1/2/2016,2110,LEAVING THE SCENE,FOUNTAIN WAY / THIMBLE SHOALS BLVD
201600055,1/2/2016,2116,THEFT FROM VEHICLE,11700 BLK JEFFERSON AVE
201600056,1/2/2016,2134,THEFT FROM VEHICLE,11800 BLK JEFFERSON AVE
201650063,1/2/2016,2148,SIMPLE ASSAULT,12700 BLK MARINERS CT
201600058,1/2/2016,2201,DAMAGE PROPERTY,700 BLK 28TH ST
201650060,1/2/2016,2211,JUVENILE - RUNAWAY,800 BLK THIMBLEBY DR
201650062,1/2/2016,2214,DRUG/NARCOTICS OFFENSES,100 BLK OTTIS ST
201650050,1/2/2016,2228,AGGRAVATED ASSAULT,0 BLK DEAN RAY CT
201650061,1/2/2016,2235,INTIMIDATION,12700 BLK MARINERS CT
201650064,1/2/2016,2340,OVERDOSE,500 BLK MIKES LN
201600059,1/3/2016,0005,LARCENY,12200 BLK JEFFERSON AVE
201650066,1/3/2016,0016,DAMAGE PROPERTY,600 BLK HAMPTON AVE
201650067,1/3/2016,0133,WEAPON OFFENSE,23RD ST / ORCUTT AVE
201650067,1/3/2016,0133,AGGRAVATED ASSAULT,23RD ST / ORCUTT AVE
201650068,1/3/2016,0136,ROBBERY,14700 BLK WARWICK BLVD
201650065,1/3/2016,0150,DRUG/NARCOTICS OFFENSES,35TH ST / JEFFERSON AVE
201650069,1/3/2016,0156,WEAPON OFFENSE,500 BLK TURNBERRY BLVD
201650069,1/3/2016,0156,HOMICIDE/MURDER,500 BLK TURNBERRY BLVD
201650070,1/3/2016,0500,OVERDOSE,0 BLK ROBINSON DR
201650071,1/3/2016,0503,DAMAGE PROPERTY,600 BLK GLOUCESTER DR
201650074,1/3/2016,0645,LARCENY,0 BLK ALPINE ST
201650072,1/3/2016,0648,SIMPLE ASSAULT,300 BLK HIDEN BLVD
201600061,1/3/2016,0716,THEFT FROM VEHICLE,300 BLK BERNARD DR
201600061,1/3/2016,0716,TAMPERING WITH AUTO,300 BLK BERNARD DR
201600062,1/3/2016,0742,TAMPERING WITH AUTO,7300 BLK CHESTNUT AVE
201650073,1/3/2016,0742,SIMPLE ASSAULT,10400 BLK JEFFERSON AVE
201600063,1/3/2016,0838,THEFT FROM BUILDING,12400 BLK JEFFERSON AVE
201600064,1/3/2016,0930,DAMAGE PROPERTY,400 BLK WYN DR
201650075,1/3/2016,1000,THEFT FROM VEHICLE,5700 BLK SURRY AVE
201600066,1/3/2016,1027,TAMPERING WITH AUTO,100 BLK BRET HARTE DR
201600065,1/3/2016,1027,DAMAGE PROPERTY,1300 BLK WICKHAM AVE
201600065,1/3/2016,1027,THEFT FROM VEHICLE,1300 BLK WICKHAM AVE
201600067,1/3/2016,1117,THEFT PARTS FROM VEHICLE,7800 BLK ROANOKE AVE
201600068,1/3/2016,1150,LARCENY,100 BLK RAYMOND DR
201650076,1/3/2016,1223,SIMPLE ASSAULT,100 BLK NEWMARKET SQ
201650076,1/3/2016,1223,DAMAGE PROPERTY,100 BLK NEWMARKET SQ
201600069,1/3/2016,1239,THEFT FROM VEHICLE,1000 BLK 74TH ST
201600071,1/3/2016,1343,THEFT FROM VEHICLE,500 BLK HARPERSVILLE RD
201650078,1/3/2016,1343,BURGLARY/B & E,5100 BLK MARSHALL AVE
201600072,1/3/2016,1345,VEHICLE THEFT,0 BLK SUN VALLEY CT
201650077,1/3/2016,1358,SIMPLE ASSAULT,400 BLK S TRELLIS CT
201600073,1/3/2016,1422,VEHICLE THEFT,2100 BLK RADIUS WAY
201650079,1/3/2016,1450,SHOPLIFTING,12400 BLK JEFFERSON AVE
201650080,1/3/2016,1450,BURGLARY/B & E,4300 BLK NEWSOME DR
201650081,1/3/2016,1507,DECEASED PERSON,2900 BLK WASHINGTON AVE
201600074,1/3/2016,1606,SHOPLIFTING,14800 BLK WARWICK BLVD
201600075,1/3/2016,1615,DAMAGE PROPERTY,100 BLK MENCHVILLE RD
201600075,1/3/2016,1615,THEFT PARTS FROM VEHICLE,100 BLK MENCHVILLE RD
201600075,1/3/2016,1615,THEFT FROM VEHICLE,100 BLK MENCHVILLE RD
201600076,1/3/2016,1628,THEFT FROM VEHICLE,6200 BLK ROANOKE AVE
201650083,1/3/2016,1716,INTIMIDATION,300 BLK ROSEMAN CT
201600077,1/3/2016,1731,UNAUTHORIZED USE OF VEHICLE,12900 BLK JEFFERSON AVE
201650084,1/3/2016,1833,SIMPLE ASSAULT,2800 BLK WEST AVE
201650085,1/3/2016,1858,AGGRAVATED ASSAULT,700 BLK 35TH ST
201650086,1/3/2016,1944,JUVENILE - RUNAWAY,800 BLK 20TH ST
201650087,1/3/2016,1950,BURGLARY/B & E,600 BLK 12TH ST
201600079,1/3/2016,2008,THEFT FROM VEHICLE,100 BLK MENCHVILLE RD
201600080,1/3/2016,2018,THEFT FROM VEHICLE,0 BLK HERITAGE WAY
201600082,1/3/2016,2038,LEAVING THE SCENE,700 BLK J CLYDE MORRIS BLVD
201650089,1/3/2016,2148,BURGLARY/B & E,300 BLK POST CANYON CT
201650093,1/3/2016,2259,DECEASED PERSON,500 BLK J CLYDE MORRIS BLVD
201650090,1/3/2016,2301,LARCENY,700 BLK CITY CENTER BLVD
201650090,1/3/2016,2301,DAMAGE PROPERTY,700 BLK CITY CENTER BLVD
201650091,1/3/2016,2310,DRUG/NARCOTICS OFFENSES,1200 BLK 24TH ST
201650091,1/3/2016,2310,DRUG EQUIPMENT - POSSESS,1200 BLK 24TH ST
201600129,1/4/2016,0004,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK JEFFERSON AVE
201600085,1/4/2016,0015,THEFT FROM VEHICLE,12400 BLK WARWICK BLVD
201600085,1/4/2016,0015,VEHICLE THEFT,12400 BLK WARWICK BLVD
201650092,1/4/2016,0023,DAMAGE PROPERTY,11800 BLK MERCHANTS WALK
201650094,1/4/2016,0137,HOMICIDE/MURDER,0 BLK HERITAGE WAY
201650095,1/4/2016,0225,THEFT FROM VEHICLE,300 BLK DOMINION DR
201600086,1/4/2016,0225,THEFT FROM VEHICLE,300 BLK DOMINION DR
201600086,1/4/2016,0225,DAMAGE PROPERTY,300 BLK DOMINION DR
201600087,1/4/2016,0334,VEHICLE THEFT,900 BLK FOREST LAKE CT
201600088,1/4/2016,0627,TAMPERING WITH AUTO,0 BLK HILLARD CIR
201600089,1/4/2016,0632,THEFT FROM VEHICLE,400 BLK ASHWAY CV
201600089,1/4/2016,0632,DAMAGE PROPERTY,400 BLK ASHWAY CV
201650096,1/4/2016,0647,DAMAGE PROPERTY,900 BLK LUCAS CREEK RD
201600090,1/4/2016,0725,THEFT FROM VEHICLE,200 BLK BELRAY DR
201600091,1/4/2016,0744,THEFT FROM VEHICLE,400 BLK ASHWAY CV
201600091,1/4/2016,0744,DAMAGE PROPERTY,400 BLK ASHWAY CV
201650098,1/4/2016,0854,LARCENY,500 BLK ST JOHNS RD
201600094,1/4/2016,0959,FRAUD/FALSE PRETENSES/SWINDLE,0 BLK ROFFMAN PL
201600095,1/4/2016,1011,SIMPLE ASSAULT,12900 BLK JEFFERSON AVE
201650099,1/4/2016,1046,THEFT FROM VEHICLE,600 BLK J CLYDE MORRIS BLVD
201600096,1/4/2016,1057,LARCENY,10100 BLK JEFFERSON AVE
201600098,1/4/2016,1153,LARCENY,13100 BLK JEFFERSON AVE
201600099,1/4/2016,1158,LARCENY,800 BLK GARROW RD
201600100,1/4/2016,1209,LARCENY,1000 BLK 34TH ST
201600147,1/4/2016,1221,SHOPLIFTING,12400 BLK JEFFERSON AVE
201600101,1/4/2016,1245,SUICIDE,100 BLK SYCAMORE AVE
201650100,1/4/2016,1246,SIMPLE ASSAULT,13400 BLK WOODSIDE LN
201600146,1/4/2016,1254,SHOPLIFTING,12400 BLK JEFFERSON AVE
201650102,1/4/2016,1256,BURGLARY/B & E,10100 BLK WARWICK BLVD
201600102,1/4/2016,1301,SIMPLE ASSAULT,400 BLK HARBOR RD
201600103,1/4/2016,1315,LARCENY,6100 BLK JEFFERSON AVE
201650103,1/4/2016,1325,INTIMIDATION,1600 BLK MADISON AVE
201600104,1/4/2016,1338,DAMAGE PROPERTY,800 BLK CONSTANCE DR
201600104,1/4/2016,1338,WEAPON OFFENSE,800 BLK CONSTANCE DR
201650110,1/4/2016,1413,BURGLARY/B & E,700 BLK ADAMS DR
201650104,1/4/2016,1415,LEAVING THE SCENE,FREEDOM WAY / JEFFERSON AVE
201650107,1/4/2016,1419,WEAPON OFFENSE,9700 BLK JEFFERSON AVE
201650107,1/4/2016,1419,INTIMIDATION,9700 BLK JEFFERSON AVE
201600108,1/4/2016,1426,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201600110,1/4/2016,1426,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201600107,1/4/2016,1426,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201600112,1/4/2016,1501,DAMAGE PROPERTY,600 BLK HAMPTON AVE
201600127,1/4/2016,1510,SIMPLE ASSAULT,3400 BLK ORCUTT AVE
201650105,1/4/2016,1515,SIMPLE ASSAULT,1000 BLK 72ND ST
201600115,1/4/2016,1531,FORGERY/COUNTERFEITING,10900 BLK WARWICK BLVD
201600116,1/4/2016,1533,MISSING PERSON,3700 BLK HUNTINGTON AVE
201600118,1/4/2016,1541,CPS REFERRAL,800 BLK HIDDEN GLEN CT
201600120,1/4/2016,1632,INDECENT EXPOSURE,3400 BLK ORCUTT AVE
201650109,1/4/2016,1649,NEGLECT CHILD,1000 BLK 24TH ST
201650108,1/4/2016,1700,SIMPLE ASSAULT,100 BLK MEREDITH WAY
201600122,1/4/2016,1716,THEFT FROM VEHICLE,0 BLK TILLERSON DR
201650117,1/4/2016,1728,STOLEN PROPERTY OFFENSES,BUCHANAN DR / WINDSOR CASTLE DR
201650114,1/4/2016,1757,WEAPON OFFENSE,16TH ST / IVY AVE
201650113,1/4/2016,1805,SHOPLIFTING,12400 BLK JEFFERSON AVE
201650116,1/4/2016,1819,BURGLARY/B & E,100 BLK RANCH DR
201600124,1/4/2016,1850,DAMAGE PROPERTY,600 BLK 9TH ST
201650121,1/4/2016,1904,SIMPLE ASSAULT,1800 BLK 19TH ST
201650111,1/4/2016,1906,BURGLARY/B & E,400 BLK EASTWOOD DR
201650118,1/4/2016,1925,BURGLARY/B & E,500 BLK BULKELEY PL
201650119,1/4/2016,1943,DRUG/NARCOTICS OFFENSES,100 BLK POPLAR AVE
201650120,1/4/2016,1948,SIMPLE ASSAULT,900 BLK J CLYDE MORRIS BLVD
201650115,1/4/2016,1958,SHOPLIFTING,12300 BLK JEFFERSON AVE
201650122,1/4/2016,2003,AGGRAVATED ASSAULT,300 BLK LEES MILL DR
201600125,1/4/2016,2017,DAMAGE PROPERTY,100 BLK TERRI BETH PL
201600126,1/4/2016,2154,SIMPLE ASSAULT,1100 BLK 32ND ST
201650124,1/4/2016,2200,WEAPON OFFENSE,300 BLK TROY DR
201650123,1/4/2016,2225,INTIMIDATION,800 BLK 41ST ST
201600128,1/4/2016,2328,ANNOYING PHONE CALLS,11300 BLK WINSTON PL
201650125,1/4/2016,2329,JUVENILE - RUNAWAY,100 BLK OLDHAM WAY
201650126,1/5/2016,0007,BURGLARY/B & E,300 BLK BOULDER DR
201650126,1/5/2016,0007,LARCENY,300 BLK BOULDER DR
201650127,1/5/2016,0141,STOLEN PROPERTY OFFENSES,25TH ST / BUXTON AVE
201650128,1/5/2016,0242,SUICIDE,200 BLK 26TH ST
201600130,1/5/2016,0319,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12700 BLK JEFFERSON AVE
201600131,1/5/2016,0755,VEHICLE THEFT,3500 BLK MADISON AVE
201600132,1/5/2016,0820,TAMPERING WITH AUTO,200 BLK LYON DR
201600132,1/5/2016,0820,THEFT FROM VEHICLE,200 BLK LYON DR
201600133,1/5/2016,0823,LARCENY,5800 BLK JEFFERSON AVE
201600134,1/5/2016,0848,THEFT FROM BUILDING,11800 BLK JEFFERSON AVE
201600135,1/5/2016,0852,DAMAGE PROPERTY,0 BLK ST EGNATIOS DR
201600136,1/5/2016,0931,UNAUTHORIZED USE OF VEHICLE,500 BLK SOUTH AVE
201600138,1/5/2016,1019,THEFT PARTS FROM VEHICLE,33RD ST / MARSHALL AVE
201650136,1/5/2016,1022,SUICIDE,1000 BLK 26TH ST
201650130,1/5/2016,1034,HIT AND RUN,3300 BLK WEST AVE
201600142,1/5/2016,1045,FRAUD - IMPERSONATE,100 BLK MOTOKA DR
201600143,1/5/2016,1214,THEFT FROM BUILDING,15200 BLK WARWICK BLVD
201600144,1/5/2016,1232,FRAUD/FALSE PRETENSES/SWINDLE,100 BLK S REDWOOD CT
201650135,1/5/2016,1245,"SEX ASSAULT, RAPE",800 BLK OLD MILL CT
201600148,1/5/2016,1316,CPS REFERRAL,600 BLK SEA TURTLE WAY
201650133,1/5/2016,1344,SHOPLIFTING,500 BLK BLAND BLVD
201600152,1/5/2016,1401,DRUG/NARCOTICS OFFENSES,HUNTERS GLENN / WARWICK BLVD
201650137,1/5/2016,1459,FORGERY/COUNTERFEITING,13200 BLK WARWICK BLVD
201600153,1/5/2016,1459,LEAVING THE SCENE,12400 BLK JEFFERSON AVE
201650138,1/5/2016,1519,SHOPLIFTING,12400 BLK JEFFERSON AVE
201600155,1/5/2016,1533,LARCENY,300 BLK HIDEN BLVD
201600155,1/5/2016,1533,DAMAGE PROPERTY,300 BLK HIDEN BLVD
201600156,1/5/2016,1604,THEFT FROM VEHICLE,300 BLK FRANCISCO WAY
201650143,1/5/2016,1621,SIMPLE ASSAULT,500 BLK DIPLOMAT CT
201600157,1/5/2016,1621,LARCENY,12400 BLK JEFFERSON AVE
201650134,1/5/2016,1631,SHOPLIFTING,6100 BLK JEFFERSON AVE
201650144,1/5/2016,1633,FORCIBLE FONDLING,0 BLK MANEY DR
201600158,1/5/2016,1647,LEAVING THE SCENE,J CLYDE MORRIS BLVD / WARWICK BLVD
201650139,1/5/2016,1649,SUICIDE,800 BLK CONSTANCE DR
201600160,1/5/2016,1722,DAMAGE PROPERTY,600 BLK KATES TRACE CIR
201650145,1/5/2016,1723,LARCENY,16TH ST / TEEN PL
201650145,1/5/2016,1723,STOLEN PROPERTY OFFENSES,16TH ST / TEEN PL
201600161,1/5/2016,1817,VEHICLE THEFT,900 BLK DAPHIA CIR
201650147,1/5/2016,1841,DRUG/NARCOTICS OFFENSES,0 BLK COURTNEY AVE
201600162,1/5/2016,1848,INTIMIDATION,500 BLK CATINA WAY
201650146,1/5/2016,1945,BURGLARY/B & E,1100 BLK BLACKWATER WAY
201600204,1/5/2016,2000,KIDNAP/ABDUCTION,5300 BLK MARSHALL AVE
201650149,1/5/2016,2029,DRUG/NARCOTICS OFFENSES,800 BLK 24TH ST
201650149,1/5/2016,2029,WEAPON OFFENSE,800 BLK 24TH ST
201600164,1/5/2016,2116,THEFT FROM VEHICLE,400 BLK N TRELLIS CT
201650150,1/5/2016,2135,SIMPLE ASSAULT,700 BLK 35TH ST
201650148,1/5/2016,2149,BURGLARY/B & E,200 BLK ASHRIDGE LN
201650151,1/5/2016,2211,DAMAGE PROPERTY,800 BLK 25TH ST
201650151,1/5/2016,2211,WEAPON OFFENSE,800 BLK 25TH ST
201650153,1/5/2016,2353,LARCENY,200 BLK ROTUNDA CIR
201650152,1/5/2016,2357,BURGLARY/B & E,600 BLK TODD TRL
201600165,1/6/2016,0029,STOLEN PROPERTY OFFENSES,800 BLK 25TH ST
201650155,1/6/2016,0118,DAMAGE PROPERTY,800 BLK 20TH ST
201650155,1/6/2016,0118,SIMPLE ASSAULT,800 BLK 20TH ST
201650154,1/6/2016,0132,SIMPLE ASSAULT,500 BLK HOLLINS CT
201600166,1/6/2016,0200,LARCENY,0 BLK HERITAGE WAY
201600167,1/6/2016,0314,LARCENY,16900 BLK WARWICK BLVD
201600168,1/6/2016,0323,THEFT FROM VEHICLE,5300 BLK YORK CIR
201600170,1/6/2016,0412,SIMPLE ASSAULT,900 BLK MARCUS DR
201600171,1/6/2016,0542,VEHICLE THEFT,1200 BLK 73RD ST
201600172,1/6/2016,0612,THEFT FROM VEHICLE,1100 BLK 76TH ST
201600173,1/6/2016,0614,VEHICLE THEFT,100 BLK REPUBLIC RD
201600174,1/6/2016,0707,THEFT FROM VEHICLE,800 BLK DEPRIEST DOWNS
201600175,1/6/2016,0724,DAMAGE PROPERTY,100 BLK SUN HAVEN CT
201650156,1/6/2016,0733,BURGLARY/B & E,600 BLK RIDLEY CIR
201600176,1/6/2016,0752,VEHICLE THEFT,1000 BLK FAUBUS DR
201600178,1/6/2016,0839,THEFT FROM VEHICLE,0 BLK CEDAR LN
201650158,1/6/2016,0905,SIMPLE ASSAULT,1600 BLK IVY AVE
201600179,1/6/2016,0925,LEAVING THE SCENE,JEFFERSON AVE / MERCURY BLVD
201600180,1/6/2016,0926,TAMPERING WITH AUTO,0 BLK CEDAR LN
201600181,1/6/2016,0952,TAMPERING WITH AUTO,0 BLK CEDAR LN
201650159,1/6/2016,0956,LARCENY,100 BLK RODEO CIR
201650160,1/6/2016,1014,BURGLARY/B & E,1100 BLK 24TH ST
201600183,1/6/2016,1020,THEFT FROM VEHICLE,2500 BLK MARSHALL AVE
201650157,1/6/2016,1026,BURGLARY/B & E,1100 BLK JEBS PL
201600184,1/6/2016,1039,THEFT FROM VEHICLE,200 BLK RIVERSIDE DR
201650162,1/6/2016,1040,SIMPLE ASSAULT,3600 BLK WASHINGTON AVE
201600185,1/6/2016,1043,DAMAGE PROPERTY,700 BLK 26TH ST
201650163,1/6/2016,1110,LEAVING THE SCENE,JEFFERSON AVE / MERCURY BLVD
201600188,1/6/2016,1128,SUICIDE,10400 BLK JEFFERSON AVE
201650164,1/6/2016,1145,SIMPLE ASSAULT,3400 BLK WASHINGTON AVE
201650165,1/6/2016,1146,DECEASED PERSON,700 BLK BRIARFIELD RD
201650166,1/6/2016,1238,DECEASED PERSON,0 BLK CHURCH RD
201600189,1/6/2016,1259,SIMPLE ASSAULT,0 BLK COPELAND LN
201650167,1/6/2016,1339,DRUG/NARCOTICS OFFENSES,0 BLK DEAN RAY CT
201600194,1/6/2016,1402,SIMPLE ASSAULT,700 BLK PENINSULA DR
201600195,1/6/2016,1402,WEAPON OFFENSE,400 BLK LOCH NESS DR
201600196,1/6/2016,1402,FORGERY/COUNTERFEITING,6000 BLK JEFFERSON AVE
201600197,1/6/2016,1433,FORGERY/COUNTERFEITING,3700 BLK HUNTINGTON AVE
201600200,1/6/2016,1517,LARCENY,10600 BLK JEFFERSON AVE
201650171,1/6/2016,1530,SHOPLIFTING,12100 BLK JEFFERSON AVE
201650170,1/6/2016,1645,SHOPLIFTING,600 BLK J CLYDE MORRIS BLVD
201650175,1/6/2016,1645,BURGLARY/B & E,0 BLK WOODFIN RD
201600202,1/6/2016,1655,LARCENY,300 BLK WILTSHIRE CRES
201600202,1/6/2016,1655,DAMAGE PROPERTY,300 BLK WILTSHIRE CRES
201650172,1/6/2016,1700,SIMPLE ASSAULT,13600 BLK WARWICK BLVD
201650174,1/6/2016,1716,SIMPLE ASSAULT,19TH ST / MADISON AVE
201600205,1/6/2016,1719,INTIMIDATION,700 BLK 27TH ST
201600206,1/6/2016,1741,THEFT FROM BUILDING,700 BLK CITY CENTER BLVD
201600207,1/6/2016,1749,THEFT FROM VEHICLE,1000 BLK WILLOW GREEN DR
201600208,1/6/2016,1845,TAMPERING WITH AUTO,0 BLK MUSEUM DR
201650176,1/6/2016,1852,SIMPLE ASSAULT,0 BLK WANGER CIR
