DRUG/NARCOTICS OFFENSES,-76.3786218,37.0281885,NZ
VEHICLE THEFT,-76.4550579,37.083409,R
OVERDOSE,-76.4332091,37.0034296,R
LARCENY,-76.4550579,37.083409,R
DRUG/NARCOTICS OFFENSES,-76.5474095,37.1707582,R
DRUG/NARCOTICS OFFENSES,-76.4307291,36.9985925,C
LARCENY,-76.4091327,36.991778,C
OVERDOSE,-76.4177382,36.9931612,M
DRUG/NARCOTICS OFFENSES,-76.5395813,37.1279074,C
LARCENY,-76.4279551,37.0067468,P
LARCENY,-76.4895789,37.074632,R
DRUG/NARCOTICS OFFENSES,-76.4747446,37.0755734,C
VEHICLE THEFT,-76.3966218,36.9916628,C
LARCENY,-76.5365804,37.1298249,C
OVERDOSE,-76.415361,36.974885,R
DRUG/NARCOTICS OFFENSES,-76.556432,37.1588069,C
LARCENY,-76.4126422,36.9872016,P
VEHICLE THEFT,-76.4384486,36.9944606,R
LARCENY,-76.4934576,37.072922,C
LARCENY,-76.547499,37.153345,R
DRUG/NARCOTICS OFFENSES,-76.4108724,36.9774726,R
AGGRAVATED ASSAULT,-76.4376306,36.9931856,R
VEHICLE THEFT,-76.4662906,37.1087076,R
ROBBERY,-76.5416743,37.1262048,R
LARCENY,-76.4576678,37.0910203,C
DRUG/NARCOTICS OFFENSES,-76.4187957,36.9831566,R
DRUG/NARCOTICS OFFENSES,-76.4335878,37.0023942,C
ROBBERY,-76.4441522,37.0204523,C
DRUG/NARCOTICS OFFENSES,-76.4570745,37.0294432,C
DRUG/NARCOTICS OFFENSES,-76.419066,36.989043,R
DRUG/NARCOTICS OFFENSES,-76.4667135,37.0765421,C
LARCENY,-76.4742095,37.0493501,C
AGGRAVATED ASSAULT,-76.4191557,36.9895401,R
DRUG/NARCOTICS OFFENSES,-76.3995769,36.9791669,P
LARCENY,-76.5420739,37.169019,R
LARCENY,-76.4427812,37.013407,R
LARCENY,-76.4699618,37.076823,C
AGGRAVATED ASSAULT,-76.5195569,37.1192116,R
VEHICLE THEFT,-76.5178627,37.1325309,R
DRUG/NARCOTICS OFFENSES,-76.4222882,36.9833657,C
AGGRAVATED ASSAULT,-76.4022041,36.9806733,R
LARCENY,-76.4281348,36.992992,R
VEHICLE THEFT,-76.4042308,36.9895218,R
DRUG/NARCOTICS OFFENSES,-76.5451187,37.1362141,C
VEHICLE THEFT,-76.413778,36.9859463,R
LARCENY,-76.4337264,37.0213457,R
DRUG/NARCOTICS OFFENSES,-76.4210991,36.9814417,C
DRUG/NARCOTICS OFFENSES,-76.4137739,36.9859398,R
DRUG/NARCOTICS OFFENSES,-76.4247893,36.998299,M
ROBBERY,-76.3928339,36.9922291,R
DRUG/NARCOTICS OFFENSES,-76.4446248,37.0196757,C
DRUG/NARCOTICS OFFENSES,-76.5149487,37.1261409,C
DRUG/NARCOTICS OFFENSES,-76.5484953,37.1433236,C
DRUG/NARCOTICS OFFENSES,-76.5423848,37.1325868,C
DRUG/NARCOTICS OFFENSES,-76.5117863,37.1278779,C
LARCENY,-76.549394,37.150901,R
LARCENY,-76.5083449,37.1549408,R
VEHICLE THEFT,-76.4589279,37.0888359,C
AGGRAVATED ASSAULT,-76.4009663,36.989446,C
DRUG/NARCOTICS OFFENSES,-76.4601433,37.0567194,P
DRUG/NARCOTICS OFFENSES,-76.4268938,36.9803951,C
LARCENY,-76.4269704,36.996754,R
DRUG/NARCOTICS OFFENSES,-76.4059599,36.9866738,R
LARCENY,-76.4311073,36.9793129,C
VEHICLE THEFT,-76.4564057,37.0391284,C
VEHICLE THEFT,-76.5355935,37.1457008,R
"SEX ASSAULT, RAPE",-76.4833383,37.0634596,O
VEHICLE THEFT,-76.5178475,37.1331828,C
LARCENY,-76.5284572,37.1273184,R
DRUG/NARCOTICS OFFENSES,-76.3995769,36.9791669,P
AGGRAVATED ASSAULT,-76.4078523,36.9843179,R
VEHICLE THEFT,-76.419941,36.985094,R
LARCENY,-76.495616,37.112658,C
DRUG/NARCOTICS OFFENSES,-76.490298,37.0640362,C
DRUG/NARCOTICS OFFENSES,-76.5423655,37.1331147,C
LARCENY,-76.4589279,37.0888359,C
VEHICLE THEFT,-76.4936844,37.0971678,M
AGGRAVATED ASSAULT,-76.5556902,37.1558427,C
AGGRAVATED ASSAULT,-76.4415084,37.0214429,C
LARCENY,-76.498023,37.1178496,R
LARCENY,-76.52589,37.144533,O
"SEX ASSAULT, RAPE",-76.493523,37.105174,C
LARCENY,-76.4441522,37.0204523,C
DRUG/NARCOTICS OFFENSES,-76.450281,37.0384021,R
DRUG/NARCOTICS OFFENSES,-76.5224309,37.1180153,C
DRUG/NARCOTICS OFFENSES,-76.4211017,37.018619,R
VEHICLE THEFT,-76.4214933,36.9820849,C
AGGRAVATED ASSAULT,-76.3966218,36.9916628,C
LARCENY,-76.5422682,37.1327238,C
OVERDOSE,-76.4589279,37.0888359,C
"SEX ASSAULT, RAPE",-76.4506071,37.0113072,R
DRUG/NARCOTICS OFFENSES,-76.5192085,37.1138352,C
VEHICLE THEFT,-76.4916212,37.1119875,R
LARCENY,-76.4632065,37.0552779,C
VEHICLE THEFT,-76.4542,37.0578806,R
DRUG/NARCOTICS OFFENSES,-76.4103193,36.9936944,P
DRUG/NARCOTICS OFFENSES,-76.528324,37.1497,C
DRUG/NARCOTICS OFFENSES,-76.3995769,36.9791669,P
LARCENY,-76.5481228,37.1350542,R
LARCENY,-76.5333758,37.1182022,R
AGGRAVATED ASSAULT,-76.4607597,37.0976734,R
AGGRAVATED ASSAULT,-76.419066,36.989043,R
LARCENY,-76.5123566,37.1444643,O
VEHICLE THEFT,-76.4537931,37.0241418,C
LARCENY,-76.4215509,36.9876357,R
LARCENY,-76.4078523,36.9843179,R
ROBBERY,-76.5264358,37.1251497,R
LARCENY,-76.4898997,37.1178509,R
DRUG/NARCOTICS OFFENSES,-76.5264522,37.1333939,R
VEHICLE THEFT,-76.4589279,37.0888359,C
DRUG/NARCOTICS OFFENSES,-76.4360354,36.9834151,C
LARCENY,-76.493523,37.105174,C
DRUG/NARCOTICS OFFENSES,-76.5567066,37.1583928,C
LARCENY,-76.5594122,37.1545291,R
AGGRAVATED ASSAULT,-76.3942153,36.9912722,R
LARCENY,-76.4357096,36.987355,M
LARCENY,-76.5224036,37.0728056,R
LARCENY,-76.5445587,37.1285745,R
DRUG/NARCOTICS OFFENSES,-76.5536158,37.1560333,R
LARCENY,-76.4889633,37.0639807,C
AGGRAVATED ASSAULT,-76.4736857,37.0735663,C
DRUG/NARCOTICS OFFENSES,-76.3972285,36.9843291,R
LARCENY,-76.526906,37.130502,R
LARCENY,-76.4667135,37.0765421,C
DRUG/NARCOTICS OFFENSES,-76.5558851,37.1563374,C
DRUG/NARCOTICS OFFENSES,-76.4714911,37.0765709,R
LARCENY,-76.5518298,37.1485437,C
AGGRAVATED ASSAULT,-76.5355935,37.1457008,R
LARCENY,-76.5266814,37.1305767,R
DRUG/NARCOTICS OFFENSES,-76.4246549,36.9872006,R
DRUG/NARCOTICS OFFENSES,-76.5370096,37.1291369,C
LARCENY,-76.5422075,37.1745184,R
LARCENY,-76.5541459,37.1248257,R
"SEX ASSAULT, RAPE",-76.4025879,36.9801229,R
VEHICLE THEFT,-76.4564057,37.0391284,C
OVERDOSE,-76.576412,37.1980977,C
VEHICLE THEFT,-76.4632871,37.0977859,R
DRUG/NARCOTICS OFFENSES,-76.4219303,36.9882796,R
LARCENY,-76.493523,37.105174,C
ROBBERY,-76.4171916,36.9918933,R
LARCENY,-76.4384486,36.9944606,R
VEHICLE THEFT,-76.3966218,36.9916628,C
LARCENY,-76.5768851,37.1376813,R
AGGRAVATED ASSAULT,-76.5411256,37.1135632,R
VEHICLE THEFT,-76.4218782,36.9885122,R
VEHICLE THEFT,-76.4721263,37.0775813,R
"SEX ASSAULT, RAPE",-76.5511733,37.154985,R
LARCENY,-76.4229516,37.0020955,R
